Date,AAPL,ADBE,ADI,AMAT,AMD,AVGO,CDNS,CRM,IBM,INTC,KLAC,LRCX,MSFT,MU,NOW,NVDA,PANW,QCOM,SNPS,TXN
2023-04-05,161.42144775390625,382.0199890136719,181.55706787109375,114.4662094116211,92.55999755859375,60.57330322265625,207.55999755859375,192.96539306640625,119.21070861816406,32.0429801940918,371.7425231933594,47.99833297729492,278.39605712890625,56.202632904052734,93.46600341796875,26.85867691040039,97.08999633789062,115.64523315429688,378.3599853515625,161.892578125
2023-04-06,162.3086395263672,380.6000061035156,178.5052032470703,111.666015625,92.47000122070312,59.959877014160156,208.52000427246094,190.23855590820312,117.7311782836914,32.02346420288086,364.9722595214844,48.02849578857422,285.5042419433594,57.83720779418945,94.6259994506836,27.01454734802246,95.96499633789062,115.60765075683594,375.9200134277344,162.73309326171875
2023-04-10,159.7161865234375,376.25,182.11019897460938,113.66614532470703,95.4800033569336,60.417293548583984,213.61000061035156,189.19126892089844,118.20932006835938,31.74041175842285,372.7751159667969,49.35810089111328,283.3404541015625,62.48907470703125,94.52799987792969,27.55609703063965,96.30999755859375,116.82012176513672,379.989990234375,163.9207763671875
2023-04-11,158.50372314453125,371.1099853515625,180.6415252685547,113.54907989501953,94.02999877929688,59.85683059692383,213.88999938964844,186.6224822998047,117.65900421142578,31.574485778808594,368.13824462890625,49.36296463012695,276.9176330566406,62.78536605834961,93.96399688720703,27.14643669128418,96.40499877929688,116.14339447021484,379.3999938964844,164.3319091796875
2023-04-12,157.81373596191406,369.8900146484375,178.61964416503906,110.40740203857422,92.33000183105469,59.38785171508789,212.17999267578125,188.0353240966797,115.96293640136719,31.252399444580078,360.5691223144531,48.34751510620117,277.5638122558594,61.19524002075195,94.28600311279297,26.472999572753906,97.63999938964844,113.04170227050781,376.5199890136719,162.2123565673828
2023-04-13,163.19573974609375,378.79998779296875,180.34588623046875,110.70985412597656,92.08999633789062,60.113956451416016,217.00999450683594,191.69090270996094,115.38557434082031,31.359764099121094,364.70928955078125,48.472015380859375,283.7809753417969,62.222408294677734,96.69999694824219,26.441022872924805,98.93499755859375,113.85003662109375,381.55999755859375,163.63755798339844
2023-04-14,162.85076904296875,379.3800048828125,179.78317260742188,110.15372467041016,91.75,59.66134262084961,214.5500030517578,192.31332397460938,115.60209655761719,31.125513076782227,365.3424377441406,48.71420669555664,280.15838623046875,61.85696792602539,92.60600280761719,26.73577880859375,99.72000122070312,112.93833923339844,381.67999267578125,163.518798828125
2023-04-17,162.87045288085938,377.9200134277344,180.7941131591797,109.07072448730469,89.87000274658203,60.41440200805664,213.16000366210938,194.7141571044922,115.31340026855469,31.369522094726562,362.4881896972656,47.918575286865234,282.7627868652344,61.76808547973633,94.11000061035156,26.979578018188477,100.58000183105469,112.20520782470703,380.19000244140625,164.49639892578125
2023-04-18,164.09275817871094,377.54998779296875,180.80364990234375,108.56336975097656,89.77999877929688,60.89204788208008,213.77000427246094,196.1171112060547,115.27730560302734,31.06695556640625,361.6114196777344,48.18217086791992,282.3417663574219,61.165611267089844,95.197998046875,27.644023895263672,100.0,111.24651336669922,380.42999267578125,164.74302673339844
2023-04-19,165.2362060546875,380.1099853515625,179.82131958007812,107.6559829711914,89.94000244140625,61.101985931396484,213.6699981689453,196.53208923339844,113.96015167236328,30.403255462646484,351.91876220703125,47.759071350097656,282.4200744628906,59.90140914916992,95.11799621582031,27.907806396484375,97.66000366210938,111.41569519042969,378.7699890136719,161.78294372558594
